rootfile,date,run,stream,total,npu,pu
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365602.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365602,CCPEB,k1029_m2048,35105343,35098395,6948
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365678.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365678,CCPEB,k1029_m2048,18284955,18275717,9238
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365709.calibration_CCPEB.k1029_m2048.1201-1.tot.root,-1028-1,365709,CCPEB,k1029_m2048,46051606,46033681,17925
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365752.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365752,CCPEB,k1029_m2048,46809766,46780813,28953
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365834.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365834,CCPEB,k1029_m2048,21210824,21206396,4428
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365914.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365914,CCPEB,k1029_m2048,25243781,25240594,3187
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365932.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365932,CCPEB,k1029_m2048,51931760,51906595,25165
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366011.calibration_CCPEB.k1029_m2048.1201-1.tot.root,-1028-1,366011,CCPEB,k1029_m2048,41934984,41919565,15419
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366029.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366029,CCPEB,k1029_m2048,49682226,49658188,24038
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366268.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366268,CCPEB,k1029_m2048,80131351,80105289,26062
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366337.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366337,CCPEB,k1029_m2048,65569393,65554801,14592
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366383.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366383,CCPEB,k1029_m2048,547506,547497,9
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366413.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366413,CCPEB,k1029_m2048,50286324,50270265,16059
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366526.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366526,CCPEB,k1029_m2048,167629,167607,22
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366528.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366528,CCPEB,k1029_m2048,33092408,33086840,5568
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366627.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366627,CCPEB,k1029_m2048,43753391,43747339,6052
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366754.calibration_CCPEB.k1029_m2048.1201-1.tot.root,-1028-1,366754,CCPEB,k1029_m2048,51742313,51728723,13590
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366805.calibration_CCPEB.k1029_m2048.1028-1.tot.root,-1028-1,366805,CCPEB,k1029_m2048,60323579,60306707,16872
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366860.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366860,CCPEB,k1029_m2048,53947435,53929407,18028
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366878.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366878,CCPEB,k1029_m2048,52535561,52514698,20863
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366931.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366931,CCPEB,k1029_m2048,36673836,36650794,23042
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366994.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366994,CCPEB,k1029_m2048,915772,914572,1200
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00367023.calibration_CCPEB.k1029_m2048.1201-1.tot.root,-1028-1,367023,CCPEB,k1029_m2048,48669391,48645430,23961
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00367134.calibration_CCPEB.k1029_m2048.1201-1.tot.root,-1028-1,367134,CCPEB,k1029_m2048,46236372,46204521,31851
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00367165.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,367165,CCPEB,k1029_m2048,161494,161257,237
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00365627.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,365627,CCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00365627.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,365627,PCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366142.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366142,CCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366142.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366142,PCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366476.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366476,CCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366476.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366476,PCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366919.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366919,CCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366919.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366919,PCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367099.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367099,CCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367099.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367099,PCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367233.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367233,CCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367233.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367233,PCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367273.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367273,CCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367273.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367273,PCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367384.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367384,CCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367384.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367384,PCPEB,k1029_m2048,0,0,0
